"","type","title","subtitle","from","date","link"
"30","Correspondence","COVID-19 vaccinations and care homes: programme launch","A letter from the Minister for Care to local authorities, directors of adult social services and managers of care homes for older adults.","Department of Health and Social Care",2020-12-04,"https://www.gov.uk/government/publications/covid-19-vaccinations-and-care-homes-programme-launch"
"31","Press release","UK medicines regulator gives approval for first UK COVID-19 vaccine","The first COVID-19 vaccine for the UK, developed by Pfizer/BioNTech, has today been given approval for use following a thorough review carried out by the Medicines and Healthcare products Regulatory Agency (MHRA).","Medicines and Healthcare products Regulatory Agency",2020-12-02,"https://www.gov.uk/government/news/uk-medicines-regulator-gives-approval-for-first-uk-covid-19-vaccine"
"32","Press release","Targeted testing to be offered to children in north east London, Kent and Essex","Hundreds of thousands of tests will be offered to secondary school and college age children in a targeted effort to drive down rapidly rising cases.","Department of Health and Social Care",2020-12-11,"https://www.gov.uk/government/news/targeted-testing-to-be-offered-to-children-in-north-east-london-kent-and-essex"
"33","Press release","Business evictions ban extended until March  ","Business owners affected by the pandemic will be protected from eviction until the end of March 2021.","Ministry of Housing, Communities & Local Government, The Rt Hon Alok Sharma MP, and The Rt Hon Robert Jenrick MP",2020-12-09,"https://www.gov.uk/government/news/business-evictions-ban-extended-until-march"
"34","Press release","Joint statement on staying safe at Christmas from the UK Government, Scottish Government, and Welsh Government","A joint statement on staying safe at Christmas from the UK Government, Scottish Government, and Welsh Government.","Cabinet Office",2020-12-16,"https://www.gov.uk/government/news/joint-statement-on-staying-safe-at-christmas-from-the-uk-government-scottish-government-and-welsh-government"
"35","Press release","Prime Minister announces new local COVID Alert Levels","Details on new local COVID Alert Levels set out by the Prime Minister.","Prime Minister's Office, 10 Downing Street and The Rt Hon Boris Johnson MP",2020-10-12,"https://www.gov.uk/government/news/prime-minister-announces-new-local-covid-alert-levels"
"36","Press release","People with long-term health conditions urged to get flu vaccine before Christmas","Health chiefs urge those with long-term health conditions to get their flu jab, as PHE analysis shows 6 in 10 flu deaths are people with underlying conditions.","Public Health England",2020-12-11,"https://www.gov.uk/government/news/people-with-long-term-health-conditions-urged-to-get-flu-vaccine-before-christmas"
"37","Press release","Prime Minister announces £1,000 Christmas grant for 'wet-led pubs'","Support for pubs that predominantly serve alcohol rather than food through festive period.","Department for Business, Energy & Industrial Strategy, Prime Minister's Office, 10 Downing Street, HM Treasury, and The Rt Hon Boris Johnson MP",2020-12-01,"https://www.gov.uk/government/news/prime-minister-announces-1000-christmas-grant-for-wet-led-pubs"
"38","Press release","Community testing offer rolled out to highest risk Tier 2 areas","Community testing programmes will be offered to worst-affected Tier 2 areas, in addition to Tier 3 areas, to help prevent areas in Tier 2 moving into the toughest restrictions.","Department of Health and Social Care",2020-12-16,"https://www.gov.uk/government/news/community-testing-offer-rolled-out-to-highest-risk-tier-2-areas"
"39","Press release","Online isolation notes launched - providing proof of coronavirus absence from work","People unable to work for more than seven days because of coronavirus (COVID-19) can obtain an isolation note through a new online service.","Department of Health and Social Care",2020-03-20,"https://www.gov.uk/government/news/online-isolation-notes-launched-providing-proof-of-coronavirus-absence-from-work"
"40","Press release","Commercial providers of COVID-19 testing urged to sign up to new DHSC webinars","New proposals will see commercial testing accredited solely through UKAS, making the accreditation of private COVID-19 tests faster and more efficient.","Department of Health and Social Care",2020-12-07,"https://www.gov.uk/government/news/commercial-providers-of-covid-19-testing-urged-to-sign-up-to-new-dhsc-webinars"
"41","Press release","UK government secures additional 2 million doses of Moderna COVID-19 vaccine","The UK now has access to a total of 357 million doses of vaccines from 7 different developers.","Department for Business, Energy & Industrial Strategy, Department of Health and Social Care, The Rt Hon Alok Sharma MP, and The Rt Hon Matt Hancock MP",2020-11-29,"https://www.gov.uk/government/news/uk-government-secures-additional-2-million-doses-of-moderna-covid-19-vaccine"
"42","Press release","97.5% of in-person coronavirus (COVID-19) tests returned next day","Statistics covering the 5th week of operation (25 June to 1 July) of the NHS Test and Trace service have been published today.","Department of Health and Social Care",2020-07-09,"https://www.gov.uk/government/news/975-of-in-person-coronavirus-covid-19-tests-returned-next-day"
"43","News story","Flexible furlough scheme starts today","Businesses will have the flexibility to bring furloughed employees back to work part time from today (1 July) as part of the government’s plan to re-open the UK and kick-start our economy.","HM Treasury",2020-07-01,"https://www.gov.uk/government/news/flexible-furlough-scheme-starts-today"
"44","Press release","Clinically extremely vulnerable receive updated guidance in line with new national restrictions","Further precautions advised on top of the tougher national measures being introduced, as cases continue to rise.","Department of Health and Social Care",2020-11-04,"https://www.gov.uk/government/news/clinically-extremely-vulnerable-receive-updated-guidance-in-line-with-new-national-restrictions"
"45","Press release","Botswana and Saudi Arabia added to travel corridor list of exempt countries","The Canary Islands removed from the list of travel corridors for the UK.","Department for Transport",2020-12-10,"https://www.gov.uk/government/news/botswana-and-saudi-arabia-added-to-travel-corridor-list-of-exempt-countries"
"46","Press release","Clinical evaluation confirms accuracy of LAMP test","A technical and clinical evaluation has confirmed OptiGene RT-LAMP tests to be accurate and sensitive enough to be used for COVID-19 testing, including for those without symptoms.","Department of Health and Social Care",2020-12-01,"https://www.gov.uk/government/news/clinical-evaluation-confirms-accuracy-of-lamp-test"
"47","Press release","Joint statement on UK-wide Christmas arrangements from the UK Government and Devolved Administrations","A joint statement on UK-wide Christmas arrangements from the UK Government and Devolved Administrations.","Cabinet Office",2020-11-24,"https://www.gov.uk/government/news/joint-statement-on-uk-wide-christmas-arrangements-from-the-uk-government-and-devolved-administrations"
"48","Speech","Health and Social Care Secretary's statement on coronavirus (COVID-19): 10 December 2020","Secretary of State for Health and Social Care Matt Hancock gave a statement at the coronavirus press conference.","Department of Health and Social Care and The Rt Hon Matt Hancock MP",2020-12-10,"https://www.gov.uk/government/speeches/health-and-social-care-secretarys-statement-on-coronavirus-covid-19-10-december-2020"
"49","Written statement to Parliament","Returning to a regional tiered approach","A written statement from the Health and Social Care Secretary to the House of Commons on returning to local COVID restriction tiers in England.","Department of Health and Social Care and The Rt Hon Matt Hancock MP",2020-11-26,"https://www.gov.uk/government/speeches/returning-to-a-regional-tiered-approach"
"50","News story","June Raine: How we backed a COVID-19 vaccine before rest of the West","MHRA Chief Executive Dr June Raine explains the process behind the Agency's approval of the Pfizer/BioNTech vaccine","Medicines and Healthcare products Regulatory Agency",2020-12-08,"https://www.gov.uk/government/news/june-raine-how-we-backed-a-covid-19-vaccine-before-rest-of-the-west"
"51","Press release","Disabled people exempt from wearing face coverings under new government guidance","Government has set out a list of face covering exemptions, as they are mandatory in additional enclosed spaces from today (Friday 24 July).","Cabinet Office",2020-07-24,"https://www.gov.uk/government/news/disabled-people-exempt-from-wearing-face-coverings-under-new-government-guidance"
"52","Speech","Prime Minister's statement to the House of Commons on coronavirus regulations: 1 December 2020","Prime Minister Boris Johnson made a statement to the House of Commons.","Prime Minister's Office, 10 Downing Street and The Rt Hon Boris Johnson MP",2020-12-01,"https://www.gov.uk/government/speeches/prime-ministers-statement-to-the-house-of-commons-on-coronavirus-regulations-1-december-2020"
"53","Press release","New film shows importance of ventilation to reduce spread of COVID-19","New short film released by the government shows how coronavirus lingers in enclosed spaces, and how to keep your home ventilated.","Department of Health and Social Care",2020-11-18,"https://www.gov.uk/government/news/new-film-shows-importance-of-ventilation-to-reduce-spread-of-covid-19"
"54","Speech","An update on the coronavirus vaccine, 2 December 2020","Secretary of State for Health and Social Care Matt Hancock gave a statement to the House of Commons about the Pfizer/BioNTech coronavirus (COVID-19) vaccine.","Department of Health and Social Care and The Rt Hon Matt Hancock MP",2020-12-02,"https://www.gov.uk/government/speeches/an-update-on-the-coronavirus-vaccine-2-december-2020"
"55","Press release","Don’t rely on temperature screening products for detection of coronavirus (COVID-19), says MHRA","Warning that thermal cameras and other such “temperature screening” products, some of which make direct claims to screen for COVID-19, are not a reliable way to detect if people have the virus.","Medicines and Healthcare products Regulatory Agency",2020-07-03,"https://www.gov.uk/government/news/dont-rely-on-temperature-screening-products-for-detection-of-coronavirus-covid-19-says-mhra"
"56","News story","Get tested at new coronavirus local testing site in Glasgow","The new UK Government funded walk-through coronavirus testing facility will open today at Arc Sports Centre in Glasgow","Office of the Secretary of State for Scotland and Iain Stewart MP",2020-09-18,"https://www.gov.uk/government/news/get-tested-at-new-coronavirus-local-testing-site-in-glasgow"
"57","Press release","COVID-19 isolation having detrimental impact on children’s education and welfare, particularly the most vulnerable","Ofsted publishes the third and final set of reports looking at the effects of the COVID-19 pandemic on children and young people.","Ofsted",2020-12-15,"https://www.gov.uk/government/news/covid-19-isolation-having-detrimental-impact-on-childrens-education-and-welfare-particularly-the-most-vulnerable"
"58","Press release","COVID-19 vaccine authorised by medicines regulator","The vaccine will be made available across the UK to priority groups from next week.","Department of Health and Social Care, Department for Business, Energy & Industrial Strategy, and The Rt Hon Alok Sharma MP",2020-12-02,"https://www.gov.uk/government/news/covid-19-vaccine-authorised-by-medicines-regulator"
"59","Press release","Government publishes list of approved COVID-19 test providers","The list of private providers of COVID-19 testing will help employers and individuals set up their own COVID-19 testing programmes.","Department of Health and Social Care",2020-12-17,"https://www.gov.uk/government/news/government-publishes-list-of-approved-covid-19-test-providers"
"60","News story","Government increases support for self-employed across the UK","The government is increasing its support to the self-employed over the coming months and ensuring people get paid faster than previously planned, it was announced today, 2 November.","HM Treasury",2020-11-02,"https://www.gov.uk/government/news/government-increases-support-for-self-employed-across-the-uk"
"61","Speech","Health and Social Care Secretary's statement on coronavirus (COVID-19): 14 December 2020","Secretary of State for Health and Social Care Matt Hancock gave a statement at the coronavirus press conference.","Department of Health and Social Care and The Rt Hon Matt Hancock MP",2020-12-14,"https://www.gov.uk/government/speeches/health-and-social-care-secretarys-statement-on-coronavirus-covid-19-14-december-2020"
"62","Oral statement to Parliament","PM statement on COVID-19 Winter Plan: 23 November 2020","PM Boris Johnson made a statement on the COVID-19 Winter Plan.","Prime Minister's Office, 10 Downing Street and The Rt Hon Boris Johnson MP",2020-11-23,"https://www.gov.uk/government/speeches/pm-statement-on-covid-19-winter-plan-23-november-2020"
"63","News story","PHE publishes COVID-19 vaccine guidance for health and social care workers","Public Health England (PHE) has published new guidance to support frontline workers in delivering the coronavirus (COVID-19) vaccine to the most vulnerable.","Public Health England",2020-11-27,"https://www.gov.uk/government/news/phe-publishes-covid-19-vaccine-guidance-for-health-and-social-care-workers"
"64","News story","Vehicle owners to be granted MOT exemption in battle against coronavirus","Temporary exemption will enable vital services to continue, frontline workers to get to work, and people to get essential food and medicine during the COVID-19 outbreak.","Department for Transport, Driver and Vehicle Standards Agency, and The Rt Hon Grant Shapps MP",2020-03-25,"https://www.gov.uk/government/news/vehicle-owners-to-be-granted-mot-exemption-in-battle-against-coronavirus"
"65","Speech","Prime Minister's statement on coronavirus (COVID-19): 2 December 2020","Prime Minister Boris Johnson gave a statement at the coronavirus press conference.","Prime Minister's Office, 10 Downing Street and The Rt Hon Boris Johnson MP",2020-12-02,"https://www.gov.uk/government/speeches/prime-ministers-statement-on-coronavirus-covid-19-2-december-2020"
"66","News story","NHS COVID-19 app: emails and SMS messages","The government is texting and emailing people across England to inform them of the new contact tracing app, available to download from the App Store and Google Play.","Department of Health and Social Care",2020-09-25,"https://www.gov.uk/government/news/nhs-covid-19-app-emails-and-sms-messages"
"67","Press release","COVID-19 infection rates in schools mirror rates in the community","Study finds infection rates among students and staff in schools were linked to those found in the wider community at the peak of the second wave.","Public Health England",2020-12-17,"https://www.gov.uk/government/news/covid-19-infection-rates-in-schools-mirror-rates-in-the-community"
"68","Press release","Business as usual for NHS Test and Trace over Christmas","The NHS Test and Trace service will be open every day over Christmas and the New Year, providing and processing tests for those who need them and tracing contacts of positive cases.","Department of Health and Social Care",2020-12-11,"https://www.gov.uk/government/news/business-as-usual-for-nhs-test-and-trace-over-christmas"
"69","News story","Weekly national flu and COVID-19 surveillance reports published","National influenza and COVID-19 report, monitoring coronavirus (COVID-19) activity, seasonal flu and other seasonal respiratory illnesses.","Public Health England",2020-10-15,"https://www.gov.uk/government/news/weekly-national-flu-and-covid-19-surveillance-reports-published"
"70","Press release","Ofsted: phased return to inspections","Ofsted’s return to inspection in 2021 will happen in phases, with no graded inspections for education or social care providers planned before the summer term.","Ofsted",2020-12-03,"https://www.gov.uk/government/news/ofsted-phased-return-to-inspections"
"71","Press release","Voucher scheme launches for schools providing free school meals","Weekly shopping vouchers worth £15 to spend at supermarkets while schools are closed due to coronavirus","Department for Education and The Rt Hon Gavin Williamson CBE MP",2020-03-31,"https://www.gov.uk/government/news/voucher-scheme-launches-for-schools-providing-free-school-meals"
"72","World news story","Attestation forms for travel to and within France","Information for UK nationals about which attestation form to use when travelling to and within France during the coronavirus (COVID-19) decree.","British Embassy Paris, British Consulate Bordeaux, British Consulate Marseille, and British Consulate Paris",2020-04-17,"https://www.gov.uk/government/news/attestation-forms-for-travel-to-and-within-france"
"73","Press release","Government asks regulator to approve supply of Oxford/AstraZeneca vaccine","The government has formally asked the Medicines and Healthcare products Regulatory Agency to evaluate whether supply of Oxford/AstraZeneca vaccine can be authorised.","Department of Health and Social Care",2020-11-27,"https://www.gov.uk/government/news/government-asks-regulator-to-approve-supply-of-oxfordastrazeneca-vaccine"
"74","Press release","Over half a million people taking part in pioneering COVID-19 research","637,379 participants from across the UK have now taken part in public health research into the effects of, and treatment for, COVID-19 in just over 8 months.","Department of Health and Social Care",2020-12-05,"https://www.gov.uk/government/news/over-half-a-million-people-taking-part-in-pioneering-covid-19-research"
"75","News story","Coronavirus (COVID-19): What has changed – 22 September","The government has today announced further national measures to address rising cases of coronavirus in England.","Cabinet Office",2020-09-22,"https://www.gov.uk/government/news/coronavirus-covid-19-what-has-changed-22-september"
"76","Press release","10,000 UK volunteers to take part in new COVID-19 vaccine trials","Ten thousand UK volunteers will be invited to join a leading phase 3 COVID-19 vaccine trial.","Department for Business, Energy & Industrial Strategy and The Rt Hon Alok Sharma MP",2020-09-25,"https://www.gov.uk/government/news/10000-uk-volunteers-to-take-part-in-new-covid-19-vaccine-trials"
"77","News story","New additions to the travel corridor lists for England, Wales and Northern Ireland","Israel, Jerusalem, Namibia, Rwanda, Sri Lanka, Uruguay, Bonaire, St Eustatius and Saba, the Northern Mariana Islands and the US Virgin Islands added to list of Travel Corridors for England, Wales and Northern Ireland.","Department for Transport",2020-11-19,"https://www.gov.uk/government/news/new-additions-to-the-travel-corridor-lists-for-england-wales-and-northern-ireland"
"78","Press release","New campaign to prevent spread of coronavirus indoors this winter","The ‘Hands. Face. Space’ public information campaign urges the public to continue to wash their hands, cover their face and make space to control infection rates and avoid a second peak.","Department of Health and Social Care",2020-09-09,"https://www.gov.uk/government/news/new-campaign-to-prevent-spread-of-coronavirus-indoors-this-winter"
"79","News story","Exams and assessments in 2021","Ofqual confirms changes to GCSEs, AS and A levels next year, following consultation; and publishes new proposals for adjustments to VTQs.","Ofqual",2020-08-03,"https://www.gov.uk/government/news/exams-and-assessments-in-2021"
"80","Press release","Everyone in the United Kingdom with symptoms now eligible for coronavirus tests","Everyone in England, Scotland, Wales and Northern Ireland with coronavirus (COVID-19) symptoms can now get a test.","Department of Health and Social Care",2020-05-18,"https://www.gov.uk/government/news/everyone-in-the-united-kingdom-with-symptoms-now-eligible-for-coronavirus-tests"
"81","Press release","Fifth COVID-19 vaccine starts UK clinical trials","Valneva begins first UK clinical trials for its promising COVID-19 vaccine, being developed in Livingston, West Lothian.","Department for Business, Energy & Industrial Strategy, Office of the Secretary of State for Scotland, The Rt Hon Alok Sharma MP, and The Rt Hon Alister Jack MP",2020-12-16,"https://www.gov.uk/government/news/fifth-covid-19-vaccine-starts-uk-clinical-trials"
"82","Press release","Homecare workers to be tested weekly for COVID-19","Care workers looking after people in their own homes will be offered weekly coronavirus tests from Monday, the government has announced.","Department of Health and Social Care",2020-11-20,"https://www.gov.uk/government/news/homecare-workers-to-be-tested-weekly-for-covid-19"
"83","Press release","Oxford University and PHE confirm high-sensitivity of lateral flow tests","Extensive clinical evaluation shows lateral flow tests are accurate and sensitive enough to be used in the community, including for asymptomatic people.","Department of Health and Social Care",2020-11-11,"https://www.gov.uk/government/news/oxford-university-and-phe-confirm-high-sensitivity-of-lateral-flow-tests"
"84","News story","Code used to calculate qualification grades in summer 2020","Ofqual publishes computer code developed to support GCSE, AS and A level awarding of calculated grades in summer 2020.","Ofqual",2020-12-07,"https://www.gov.uk/government/news/code-used-to-calculate-qualification-grades-in-summer-2020"
"85","Press release","Care home residents to be reunited with families by Christmas","New guidance will safely allow indoor visits to care homes across England as the country moves back into tiered restrictions.","Department of Health and Social Care",2020-12-01,"https://www.gov.uk/government/news/care-home-residents-to-be-reunited-with-families-by-christmas"
"86","News story","Germany and Sweden removed from travel corridor list of exempt countries","From 4am Saturday 7 November, people arriving in the UK from Germany or Sweden will need to self-isolate.","Department for Transport",2020-11-05,"https://www.gov.uk/government/news/germany-and-sweden-removed-from-travel-corridor-list-of-exempt-countries"
"87","Press release","Millions could be vaccinated against COVID-19 as UK secures strong portfolio of promising vaccines","The UK has secured early access to 90 million doses of promising coronavirus vaccine candidates.","Department for Business, Energy & Industrial Strategy, Department of Health and Social Care, The Rt Hon Matt Hancock MP, and The Rt Hon Alok Sharma MP",2020-07-20,"https://www.gov.uk/government/news/millions-could-be-vaccinated-against-covid-19-as-uk-secures-strong-portfolio-of-promising-vaccines"
"88","News story","Guidance if you are visiting your local coastline this winter","When visiting your local coastline please take care and follow the rules and social distancing guidelines according to your tier status.","Maritime and Coastguard Agency",2020-12-02,"https://www.gov.uk/government/news/guidance-if-you-are-visiting-your-local-coastline-this-winter"
"89","News story","Oxford/AstraZeneca COVID-19 vaccine: MHRA statement confirming letter received","The safety of the public will always come first.","Medicines and Healthcare products Regulatory Agency",2020-11-27,"https://www.gov.uk/government/news/oxfordastrazeneca-covid-19-vaccine-mhra-statement-confirming-letter-received"
"90","Press release","LoveHolidays to refund over £18 million for cancelled holidays","Following CMA action, LoveHolidays has committed to pay out over £18 million to customers waiting for money back after their holidays were cancelled due to coronavirus.","Competition and Markets Authority",2020-12-15,"https://www.gov.uk/government/news/loveholidays-to-refund-over-18-million-for-cancelled-holidays"
"91","Press release","PM announces easing of lockdown restrictions: 23 June 2020","Prime Minister Boris Johnson has today set out further changes to lockdown measures in England.","Prime Minister's Office, 10 Downing Street and The Rt Hon Boris Johnson MP",2020-06-23,"https://www.gov.uk/government/news/pm-announces-easing-of-lockdown-restrictions-23-june-2020"
"92","Press release","Government has changed the law so most renters have a 6 month notice period","Landlords must provide at least 6 months’ notice period prior to seeking possession through the courts in most cases.","Ministry of Housing, Communities & Local Government and The Rt Hon Robert Jenrick MP",2020-08-28,"https://www.gov.uk/government/news/government-has-changed-the-law-so-most-renters-have-a-6-month-notice-period"
